 ,Major,Minor,Angle
946,52.3,20.4,132.3
947,52.6,17.6,42.0
948,55.5,17.4,107.6
949,58.5,17.8,23.9
950,54.2,18.9,46.7
951,54.1,18.4,108.7
952,62.4,20.0,170.9
953,57.6,20.8,36.9
954,55.9,19.3,128.7
955,56.8,17.9,46.2
956,47.3,16.8,170.8
957,52.8,16.9,167.7
958,56.3,22.2,82.5
959,52.2,17.5,161.6
960,60.1,20.9,22.2
961,52.7,18.0,65.1
962,50.1,19.2,155.4
963,52.9,18.8,92.8
964,48.0,18.1,60.4
965,56.5,19.0,111.7
966,46.6,16.6,149.0
967,54.4,19.0,81.5
968,55.5,19.7,67.7
969,52.5,20.0,31.2
970,61.4,20.3,167.4
971,54.5,19.3,34.2
972,51.7,18.6,55.3
973,50.0,17.8,176.2
974,47.9,16.4,64.6
975,68.4,18.5,149.3
976,56.5,19.9,55.6
977,58.3,19.2,54.2
978,60.2,20.8,5.0
979,58.2,18.9,83.0
980,57.8,19.4,59.2
981,53.9,17.3,44.4
982,55.5,19.9,60.4
983,47.7,20.1,39.6
984,49.6,15.1,43.1
985,48.3,16.0,133.3
986,55.6,20.1,33.9
987,56.4,18.8,33.9
988,47.9,17.0,43.8
989,51.8,20.3,3.4
990,52.6,18.1,77.5
991,49.4,16.5,58.9
992,53.5,16.3,44.4
993,56.4,18.1,61.5
994,43.9,17.0,55.8
