Wavelength (nm),Au@BSPP@10C,Au@BSPP@25C,Au@BSPP@40C,Au@BSPP@60C,Au@BSPP@70C,Au@BSPP@80C
514,1.1485157404929,1.28865120024602,2.15042407293327,2.42966043841137,2.41579077619622,2.38091123792845
513,1.14262829061376,1.28206175657254,2.13443747856773,2.40922430672391,2.39948760869324,2.36950005494709
512,1.13687882882403,1.27505936296532,2.11664820992927,2.38995938686338,2.38305614657954,2.34864767777451
511,1.130989542367,1.26836798598013,2.10743632376053,2.36424652103093,2.35302763153755,2.32589842076914
510,1.12521375853985,1.25953601640584,2.08257367389064,2.34042721466515,2.33432713060048,2.30550839622897
509,1.11984049211468,1.25266434563045,2.0621499356908,2.31519800621657,2.3137507915888,2.28651307367156
508,1.114052633963,1.24428684796784,2.04144569153086,2.29981409780549,2.29100113622114,2.25616778098631
507,1.10862436023756,1.236594028144,2.02276349120961,2.26614160514952,2.26427766004985,2.2361449501021
506,1.10242519627034,1.22831522356825,2.00079932696686,2.24316264743216,2.23799335639119,2.20615988191029
505,1.09778536465726,1.21980121381582,1.97933637127488,2.21790216811624,2.20946698497542,2.18677869435686
504,1.09237758301346,1.21193190108922,1.95697845650371,2.19490422655214,2.1881055018304,2.16244896781885
503,1.08763762021375,1.20453404484096,1.93424408043525,2.16565949609369,2.15965394577752,2.13311211939082
502,1.08242904119038,1.19653858534846,1.91388146694248,2.14381972224063,2.13700786678067,2.1075881211427
501,1.07728145556372,1.18812972156855,1.89210024425034,2.11739084562333,2.1090490437758,2.07645029963577
500,1.07325826202315,1.18063951351977,1.87046741645418,2.08741232850236,2.08029670585109,2.05510542759814
499,1.06857289541941,1.17344549860589,1.84777714170851,2.06209925542757,2.05435182076169,2.03122979843871
498,1.06430734349032,1.16614475071513,1.82884273735854,2.03759103645657,2.03040470916051,2.00377962202954
497,1.06048976055252,1.15979982555113,1.80482318578443,2.01163926807018,2.00573603397773,1.98089365922989
496,1.05664914543466,1.15265252493442,1.78597448878397,1.98765343230886,1.982312536066,1.95918399362139
495,1.05287249275884,1.14604988002976,1.76583598495276,1.96109074268418,1.95679742131977,1.93309602648475
494,1.04881361333411,1.13920455621835,1.74619362133596,1.9358393673708,1.93118477660816,1.90944216095573
493,1.04504518695615,1.13256085563713,1.72411708821452,1.91410948175531,1.9072449468565,1.88385194973196
492,1.04341290017344,1.12813524791312,1.70820365091851,1.89388820114037,1.88906260281907,1.86522487671586
491,1.04180478785401,1.12364251749217,1.69148376989481,1.87625856048157,1.8691506047265,1.84651826116244
490,1.03852611562918,1.11723696639426,1.67246172354691,1.84993289806225,1.8439394400195,1.82385245231838
489,1.03570094358112,1.11197903107724,1.65458243572324,1.829600022068,1.82275740876548,1.80279078124427
488,1.03412514402486,1.10812327507533,1.64076927007742,1.81194175031873,1.80680331516526,1.78651858042799
487,1.03265448495626,1.10397326831061,1.6258942477473,1.79458757278469,1.79081236730152,1.76806928248619
486,1.03017000024934,1.09925993883902,1.60911620865198,1.77388634653944,1.76858578254743,1.74783879101919
485,1.02802271809712,1.09489732738752,1.59382397001878,1.75571870803733,1.75098988933909,1.73122137134746
484,1.027492697267,1.09274798979931,1.584480581021,1.74422720498283,1.73850980836597,1.71907466331868
483,1.0270036763979,1.08987237371848,1.57322248777947,1.72974967817723,1.72462130472791,1.70495205643939
482,1.0262564980283,1.08661291126625,1.55987603682635,1.71364599528126,1.70802074226922,1.68835765612209
481,1.02504197458739,1.08352681624832,1.54816671184543,1.69870092379533,1.69131078801998,1.67285234954699
480,1.02403273339953,1.08058409554046,1.53624954452911,1.68516885122625,1.67864925977159,1.65903039347157
479,1.02362333089608,1.07790327415256,1.52596910276683,1.67079725537446,1.66474504387,1.64605859222741
478,1.02314895204067,1.07574075106432,1.51554269366817,1.65968817835007,1.65277280603097,1.63364839871472
477,1.022978511207,1.07402614939725,1.50658136947272,1.64696299026936,1.64141436866595,1.62273618427447
476,1.02250166650021,1.07166506395766,1.49777992048066,1.63729199489598,1.63094673264313,1.61098590157766
475,1.02246346656666,1.07047091605375,1.48925548668589,1.62617200410519,1.61968983958546,1.600127277111
474,1.02206381259199,1.06827607530195,1.48097771063537,1.61654001182855,1.60988408631522,1.5906770114673
473,1.02233549912333,1.06714399271708,1.47390498040438,1.6065972430166,1.60069725506519,1.58092744293898
472,1.02258489333289,1.06609407955951,1.46741365845647,1.5982279562084,1.59105803932064,1.57283539603512
471,1.02303245131098,1.06486196710011,1.46029076354258,1.5893852120995,1.58389098229593,1.56441602116695
470,1.02349037606832,1.06413027746668,1.45397522902318,1.58241424622384,1.57448688693183,1.5560963647224
